K,Model,CV_Recall,CV_F1,HL_Test
1750,MultinomialNB,0.685818,0.681091,0.1989247311827957
1750,LogisticRegression,0.656125,0.629931,0.1971326164874552
1750,RandomForest,0.729933,0.750527,0.17652329749103943
1750,DeepLearning,0.7968,0.8125,0.16308243727598568
1800,MultinomialNB,0.686794,0.682411,0.1971326164874552
1800,LogisticRegression,0.657073,0.630843,0.1989247311827957
1800,RandomForest,0.73721,0.758631,0.16218637992831542
1800,DeepLearning,0.8008,0.811,0.16218637992831542
1850,MultinomialNB,0.686835,0.682336,0.1989247311827957
1850,LogisticRegression,0.656602,0.630411,0.1953405017921147
1850,RandomForest,0.728785,0.751287,0.16577060931899643
1850,DeepLearning,0.7954,0.8055,0.16487455197132617
1900,MultinomialNB,0.687289,0.682686,0.1971326164874552
1900,LogisticRegression,0.656562,0.630382,0.1971326164874552
1900,RandomForest,0.718632,0.739573,0.16666666666666666
1900,DeepLearning,0.7852,0.8049,0.15949820788530467
1950,MultinomialNB,0.68825,0.683814,0.1989247311827957
1950,LogisticRegression,0.657004,0.6309,0.1953405017921147
1950,RandomForest,0.718775,0.736857,0.15681003584229392
1950,DeepLearning,0.7873,0.8017,0.1603942652329749
2000,MultinomialNB,0.690119,0.685505,0.2060931899641577
2000,LogisticRegression,0.657484,0.631355,0.1953405017921147
2000,RandomForest,0.724718,0.744833,0.16666666666666666
2000,DeepLearning,0.7868,0.8009,0.16129032258064516
11991,MultinomialNB,0.638415,0.619676,0.1935483870967742
11991,LogisticRegression,0.638204,0.612063,0.1881720430107527
11991,RandomForest,0.686146,0.698988,0.15232974910394265
11991,DeepLearning,0.6772,0.6828,0.16577060931899643
